cohort,target,model,classification_report
imputed_all_rows,Total,majority_class_baseline,"              precision    recall  f1-score   support

        Mild       0.80      1.00      0.89        37
      Medium       0.00      0.00      0.00         5
      Severe       0.00      0.00      0.00         3
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.80        46
   macro avg       0.20      0.25      0.22        46
weighted avg       0.65      0.80      0.72        46
"
imputed_all_rows,Total,Morph_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.97      0.88        37
      Medium       0.00      0.00      0.00         5
      Severe       0.00      0.00      0.00         3
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.78        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.78      0.71        46
"
imputed_all_rows,Total,Radiomics_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.95      0.86        37
      Medium       0.00      0.00      0.00         5
      Severe       0.00      0.00      0.00         3
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.76        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.76      0.70        46
"
imputed_all_rows,Total,Combined_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.97      0.88        37
      Medium       0.00      0.00      0.00         5
      Severe       0.00      0.00      0.00         3
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.78        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.78      0.71        46
"
imputed_all_rows,Pain,majority_class_baseline,"              precision    recall  f1-score   support

        Mild       0.91      1.00      0.95        42
      Medium       0.00      0.00      0.00         4
      Severe       0.00      0.00      0.00         0
    Intensed       0.00      0.00      0.00         0

    accuracy                           0.91        46
   macro avg       0.23      0.25      0.24        46
weighted avg       0.83      0.91      0.87        46
"
imputed_all_rows,Pain,Morph_KPCA,"              precision    recall  f1-score   support

        Mild       0.91      1.00      0.95        42
      Medium       0.00      0.00      0.00         4
      Severe       0.00      0.00      0.00         0
    Intensed       0.00      0.00      0.00         0

    accuracy                           0.91        46
   macro avg       0.23      0.25      0.24        46
weighted avg       0.83      0.91      0.87        46
"
imputed_all_rows,Pain,Radiomics_KPCA,"              precision    recall  f1-score   support

        Mild       0.91      1.00      0.95        42
      Medium       0.00      0.00      0.00         4
      Severe       0.00      0.00      0.00         0
    Intensed       0.00      0.00      0.00         0

    accuracy                           0.91        46
   macro avg       0.23      0.25      0.24        46
weighted avg       0.83      0.91      0.87        46
"
imputed_all_rows,Pain,Combined_KPCA,"              precision    recall  f1-score   support

        Mild       0.91      1.00      0.95        42
      Medium       0.00      0.00      0.00         4
      Severe       0.00      0.00      0.00         0
    Intensed       0.00      0.00      0.00         0

    accuracy                           0.91        46
   macro avg       0.23      0.25      0.24        46
weighted avg       0.83      0.91      0.87        46
"
imputed_all_rows,Function,majority_class_baseline,"              precision    recall  f1-score   support

        Mild       0.80      1.00      0.89        37
      Medium       0.00      0.00      0.00         8
      Severe       0.00      0.00      0.00         0
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.80        46
   macro avg       0.20      0.25      0.22        46
weighted avg       0.65      0.80      0.72        46
"
imputed_all_rows,Function,Morph_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.97      0.88        37
      Medium       0.00      0.00      0.00         8
      Severe       0.00      0.00      0.00         0
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.78        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.78      0.71        46
"
imputed_all_rows,Function,Radiomics_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.97      0.88        37
      Medium       0.00      0.00      0.00         8
      Severe       0.00      0.00      0.00         0
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.78        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.78      0.71        46
"
imputed_all_rows,Function,Combined_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.97      0.88        37
      Medium       0.00      0.00      0.00         8
      Severe       0.00      0.00      0.00         0
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.78        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.78      0.71        46
"
imputed_all_rows,PainFunction,majority_class_baseline,"              precision    recall  f1-score   support

        Mild       0.80      1.00      0.89        37
      Medium       0.00      0.00      0.00         5
      Severe       0.00      0.00      0.00         3
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.80        46
   macro avg       0.20      0.25      0.22        46
weighted avg       0.65      0.80      0.72        46
"
imputed_all_rows,PainFunction,Morph_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.97      0.88        37
      Medium       0.00      0.00      0.00         5
      Severe       0.00      0.00      0.00         3
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.78        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.78      0.71        46
"
imputed_all_rows,PainFunction,Radiomics_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.97      0.88        37
      Medium       0.00      0.00      0.00         5
      Severe       0.00      0.00      0.00         3
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.78        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.78      0.71        46
"
imputed_all_rows,PainFunction,Combined_KPCA,"              precision    recall  f1-score   support

        Mild       0.80      0.95      0.86        37
      Medium       0.00      0.00      0.00         5
      Severe       0.00      0.00      0.00         3
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.76        46
   macro avg       0.20      0.24      0.22        46
weighted avg       0.64      0.76      0.70        46
"
mri_complete_cases,Total,majority_class_baseline,"              precision    recall  f1-score   support

        Mild       0.50      1.00      0.67         3
      Medium       0.00      0.00      0.00         1
      Severe       0.00      0.00      0.00         1
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.12      0.25      0.17         6
weighted avg       0.25      0.50      0.33         6
"
mri_complete_cases,Total,Morph_KPCA,"              precision    recall  f1-score   support

        Mild       0.60      1.00      0.75         3
      Medium       0.00      0.00      0.00         1
      Severe       0.00      0.00      0.00         1
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.15      0.25      0.19         6
weighted avg       0.30      0.50      0.38         6
"
mri_complete_cases,Total,Radiomics_KPCA,"              precision    recall  f1-score   support

        Mild       0.33      0.33      0.33         3
      Medium       0.00      0.00      0.00         1
      Severe       0.00      0.00      0.00         1
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.17         6
   macro avg       0.08      0.08      0.08         6
weighted avg       0.17      0.17      0.17         6
"
mri_complete_cases,Total,Combined_KPCA,"              precision    recall  f1-score   support

        Mild       0.50      0.67      0.57         3
      Medium       0.00      0.00      0.00         1
      Severe       0.00      0.00      0.00         1
    Intensed       0.00      0.00      0.00         1

    accuracy                           0.33         6
   macro avg       0.12      0.17      0.14         6
weighted avg       0.25      0.33      0.29         6
"
mri_complete_cases,Pain,majority_class_baseline,"              precision    recall  f1-score   support

        Mild       0.50      1.00      0.67         3
      Medium       0.00      0.00      0.00         2
      Severe       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.17      0.33      0.22         6
weighted avg       0.25      0.50      0.33         6
"
mri_complete_cases,Pain,Morph_KPCA,"              precision    recall  f1-score   support

        Mild       0.60      1.00      0.75         3
      Medium       0.00      0.00      0.00         2
      Severe       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.20      0.33      0.25         6
weighted avg       0.30      0.50      0.38         6
"
mri_complete_cases,Pain,Radiomics_KPCA,"              precision    recall  f1-score   support

        Mild       0.67      0.67      0.67         3
      Medium       0.33      0.50      0.40         2
      Severe       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.33      0.39      0.36         6
weighted avg       0.44      0.50      0.47         6
"
mri_complete_cases,Pain,Combined_KPCA,"              precision    recall  f1-score   support

        Mild       0.60      1.00      0.75         3
      Medium       0.00      0.00      0.00         2
      Severe       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.20      0.33      0.25         6
weighted avg       0.30      0.50      0.38         6
"
mri_complete_cases,Function,majority_class_baseline,"              precision    recall  f1-score   support

        Mild       0.50      1.00      0.67         3
      Medium       0.00      0.00      0.00         2
      Severe       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.17      0.33      0.22         6
weighted avg       0.25      0.50      0.33         6
"
mri_complete_cases,Function,Morph_KPCA,"              precision    recall  f1-score   support

        Mild       0.50      1.00      0.67         3
      Medium       0.00      0.00      0.00         2
      Severe       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.17      0.33      0.22         6
weighted avg       0.25      0.50      0.33         6
"
mri_complete_cases,Function,Radiomics_KPCA,"              precision    recall  f1-score   support

        Mild       0.50      1.00      0.67         3
      Medium       0.00      0.00      0.00         2
      Severe       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.17      0.33      0.22         6
weighted avg       0.25      0.50      0.33         6
"
mri_complete_cases,Function,Combined_KPCA,"              precision    recall  f1-score   support

        Mild       0.50      1.00      0.67         3
      Medium       0.00      0.00      0.00         2
      Severe       0.00      0.00      0.00         1

    accuracy                           0.50         6
   macro avg       0.17      0.33      0.22         6
weighted avg       0.25      0.50      0.33         6
"
mri_complete_cases,PainFunction,majority_class_baseline,"              precision    recall  f1-score   support

        Mild       0.50      1.00      0.67         3
      Medium       0.00      0.00      0.00         1
      Severe       0.00      0.00      0.00         2
    Intensed       0.00      0.00      0.00         0

    accuracy                           0.50         6
   macro avg       0.12      0.25      0.17         6
weighted avg       0.25      0.50      0.33         6
"
mri_complete_cases,PainFunction,Morph_KPCA,"              precision    recall  f1-score   support

        Mild       0.60      1.00      0.75         3
      Medium       0.00      0.00      0.00         1
      Severe       1.00      0.50      0.67         2
    Intensed       0.00      0.00      0.00         0

    accuracy                           0.67         6
   macro avg       0.40      0.38      0.35         6
weighted avg       0.63      0.67      0.60         6
"
mri_complete_cases,PainFunction,Radiomics_KPCA,"              precision    recall  f1-score   support

        Mild       0.60      1.00      0.75         3
      Medium       0.00      0.00      0.00         1
      Severe       0.00      0.00      0.00         2
    Intensed       0.00      0.00      0.00         0

    accuracy                           0.50         6
   macro avg       0.15      0.25      0.19         6
weighted avg       0.30      0.50      0.38         6
"
mri_complete_cases,PainFunction,Combined_KPCA,"              precision    recall  f1-score   support

        Mild       0.60      1.00      0.75         3
      Medium       0.00      0.00      0.00         1
      Severe       0.00      0.00      0.00         2
    Intensed       0.00      0.00      0.00         0

    accuracy                           0.50         6
   macro avg       0.15      0.25      0.19         6
weighted avg       0.30      0.50      0.38         6
"
