analysis_type,cohort,target,side,kpca_case,kpca_variable,mri_variable,method,rho,p_value,n_samples,sample_size_note,ultrasound_features_json,radiomics_features_json,morphology_features_json,p_fdr_bh,significant_fdr_0_05
cross_fitted_mri_complete,mri_complete_cases,Function,Left,Case1_RadiomicsTop5,Case1_RadiomicsTop5_KPCA_L,RF_imat_ratio_L,spearman,-0.1773774954925803,0.6239659715480919,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_ngtdm_Busyness"", ""original_ngtdm_Coarseness"", ""original_glrlm_RunLengthNonUniformity"", ""original_glcm_ClusterProminence""]","[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_ngtdm_Busyness"", ""original_ngtdm_Coarseness"", ""original_glrlm_RunLengthNonUniformity"", ""original_glcm_ClusterProminence""]",[],0.6970200469320592,False
cross_fitted_mri_complete,mri_complete_cases,Function,Left,Case2_RadiomicsTop5_MorphologyTop5,Case2_RadiomicsTop5_MorphologyTop5_KPCA_L,RF_imat_ratio_L,spearman,-0.7462087741411999,0.013185993502853073,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_ngtdm_Busyness"", ""original_ngtdm_Coarseness"", ""original_glrlm_RunLengthNonUniformity"", ""original_glcm_ClusterProminence"", ""Area"", ""FeretY"", ""Normalized_Area"", ""EI_original"", ""FeretX""]","[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_ngtdm_Busyness"", ""original_ngtdm_Coarseness"", ""original_glrlm_RunLengthNonUniformity"", ""original_glcm_ClusterProminence""]","[""Area"", ""FeretY"", ""Normalized_Area"", ""EI_original"", ""FeretX""]",0.21097589604564917,False
cross_fitted_mri_complete,mri_complete_cases,Function,Right,Case1_RadiomicsTop5,Case1_RadiomicsTop5_KPCA_R,RF_imat_ratio_R,spearman,-0.20144638848441568,0.4227984871154372,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_ngtdm_Busyness"", ""original_ngtdm_Coarseness"", ""original_glrlm_RunLengthNonUniformity"", ""original_glcm_ClusterProminence""]","[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_ngtdm_Busyness"", ""original_ngtdm_Coarseness"", ""original_glrlm_RunLengthNonUniformity"", ""original_glcm_ClusterProminence""]",[],0.5964872015533912,False
cross_fitted_mri_complete,mri_complete_cases,Function,Right,Case2_RadiomicsTop5_MorphologyTop5,Case2_RadiomicsTop5_MorphologyTop5_KPCA_R,RF_imat_ratio_R,spearman,0.0030991752074525486,0.9902623312925964,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_ngtdm_Busyness"", ""original_ngtdm_Coarseness"", ""original_glrlm_RunLengthNonUniformity"", ""original_glcm_ClusterProminence"", ""Area"", ""FeretY"", ""Normalized_Area"", ""EI_original"", ""FeretX""]","[""original_glrlm_LongRunHighGrayLevelEmphasis"", ""original_ngtdm_Busyness"", ""original_ngtdm_Coarseness"", ""original_glrlm_RunLengthNonUniformity"", ""original_glcm_ClusterProminence""]","[""Area"", ""FeretY"", ""Normalized_Area"", ""EI_original"", ""FeretX""]",0.9902623312925964,False
cross_fitted_mri_complete,mri_complete_cases,Pain,Left,Case1_RadiomicsTop5,Case1_RadiomicsTop5_KPCA_L,RF_imat_ratio_L,spearman,-0.36087145634697376,0.30561301849615596,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Strength""]","[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Strength""]",[],0.5964872015533912,False
cross_fitted_mri_complete,mri_complete_cases,Pain,Left,Case2_RadiomicsTop5_MorphologyTop5,Case2_RadiomicsTop5_MorphologyTop5_KPCA_L,RF_imat_ratio_L,spearman,-0.43426904068873107,0.209828104837512,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Strength"", ""FeretY"", ""Angle"", ""Minor"", ""EI_original"", ""Normalized_Area""]","[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Strength""]","[""FeretY"", ""Angle"", ""Minor"", ""EI_original"", ""Normalized_Area""]",0.559541612900032,False
cross_fitted_mri_complete,mri_complete_cases,Pain,Right,Case1_RadiomicsTop5,Case1_RadiomicsTop5_KPCA_R,RF_imat_ratio_R,spearman,0.28202494387818194,0.25686284656113284,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Strength""]","[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Strength""]",[],0.587115077854018,False
cross_fitted_mri_complete,mri_complete_cases,Pain,Right,Case2_RadiomicsTop5_MorphologyTop5,Case2_RadiomicsTop5_MorphologyTop5_KPCA_R,RF_imat_ratio_R,spearman,-0.5154961428396072,0.028555804849067015,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Strength"", ""FeretY"", ""Angle"", ""Minor"", ""EI_original"", ""Normalized_Area""]","[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_ngtdm_Strength""]","[""FeretY"", ""Angle"", ""Minor"", ""EI_original"", ""Normalized_Area""]",0.22844643879253612,False
cross_fitted_mri_complete,mri_complete_cases,PainFunction,Left,Case1_RadiomicsTop5,Case1_RadiomicsTop5_KPCA_L,RF_imat_ratio_L,spearman,-0.2997068027288426,0.40017492597422644,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC""]","[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC""]",[],0.5964872015533912,False
cross_fitted_mri_complete,mri_complete_cases,PainFunction,Left,Case2_RadiomicsTop5_MorphologyTop5,Case2_RadiomicsTop5_MorphologyTop5_KPCA_L,RF_imat_ratio_L,spearman,-0.25077507983433767,0.48464585126213033,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC"", ""FeretY"", ""Circ."", ""FeretAngle"", ""Normalized_Area"", ""EI_original""]","[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC""]","[""FeretY"", ""Circ."", ""FeretAngle"", ""Normalized_Area"", ""EI_original""]",0.5964872015533912,False
cross_fitted_mri_complete,mri_complete_cases,PainFunction,Right,Case1_RadiomicsTop5,Case1_RadiomicsTop5_KPCA_R,RF_imat_ratio_R,spearman,-0.1880166292521213,0.45498982026333157,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC""]","[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC""]",[],0.5964872015533912,False
cross_fitted_mri_complete,mri_complete_cases,PainFunction,Right,Case2_RadiomicsTop5_MorphologyTop5,Case2_RadiomicsTop5_MorphologyTop5_KPCA_R,RF_imat_ratio_R,spearman,0.11363642427326011,0.6534562939988056,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC"", ""FeretY"", ""Circ."", ""FeretAngle"", ""Normalized_Area"", ""EI_original""]","[""original_glcm_ClusterProminence"", ""original_firstorder_Minimum"", ""original_glrlm_ShortRunEmphasis"", ""original_glrlm_RunLengthNonUniformityNormalized"", ""original_glcm_MCC""]","[""FeretY"", ""Circ."", ""FeretAngle"", ""Normalized_Area"", ""EI_original""]",0.6970200469320592,False
cross_fitted_mri_complete,mri_complete_cases,Total,Left,Case1_RadiomicsTop5,Case1_RadiomicsTop5_KPCA_L,RF_imat_ratio_L,spearman,-0.4403855060505442,0.2027505555110427,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile""]","[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile""]",[],0.559541612900032,False
cross_fitted_mri_complete,mri_complete_cases,Total,Left,Case2_RadiomicsTop5_MorphologyTop5,Case2_RadiomicsTop5_MorphologyTop5_KPCA_L,RF_imat_ratio_L,spearman,-0.4770842982214229,0.163234711355641,10,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile"", ""FeretY"", ""Normalized_Area"", ""FeretAngle"", ""EI_original"", ""FeretX""]","[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile""]","[""FeretY"", ""Normalized_Area"", ""FeretAngle"", ""EI_original"", ""FeretX""]",0.559541612900032,False
cross_fitted_mri_complete,mri_complete_cases,Total,Right,Case1_RadiomicsTop5,Case1_RadiomicsTop5_KPCA_R,RF_imat_ratio_R,spearman,0.31198363755022324,0.2075409077635715,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile""]","[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile""]",[],0.559541612900032,False
cross_fitted_mri_complete,mri_complete_cases,Total,Right,Case2_RadiomicsTop5_MorphologyTop5,Case2_RadiomicsTop5_MorphologyTop5_KPCA_R,RF_imat_ratio_R,spearman,-0.20661168049683656,0.41074675681571904,18,Main MRI-complete analysis; KPCA scores are out-of-fold for held-out patients and use all matched MRI-complete side rows.,"[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile"", ""FeretY"", ""Normalized_Area"", ""FeretAngle"", ""EI_original"", ""FeretX""]","[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile""]","[""FeretY"", ""Normalized_Area"", ""FeretAngle"", ""EI_original"", ""FeretX""]",0.5964872015533912,False
